protein_accession,protein_description,control_1,control_2,control_3,treatment_1,treatment_2,treatment_3
FLIP1_HUMAN_Q7Z7B0,Filamin-A-interacting protein 1 OS=Homo sapiens GN=FILIP1 PE=1 SV=1,NA,NA,4.0803,NA,NA,NA
G3XAL2_HUMAN_G3XAL2,Enhancer of zeste homolog 2 (Drosophila)_ isoform CRA_b OS=Homo sapiens GN=EZH2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
KDEL2_HUMAN_Q7Z4H8,KDEL motif-containing protein 2 OS=Homo sapiens GN=KDELC2 PE=1 SV=2,NA,NA,NA,0.1459,NA,NA
PROS_HUMAN_P07225,Vitamin K-dependent protein S OS=Homo sapiens GN=PROS1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
CACO1_HUMAN_Q9P1Z2,Calcium-binding and coiled-coil domain-containing protein 1 OS=Homo sapiens GN=CALCOCO1 PE=1 SV=2,1.347,NA,NA,NA,NA,NA
NOE3_HUMAN_Q96PB7,Noelin-3 OS=Homo sapiens GN=OLFM3 PE=1 SV=1,NA,NA,NA,NA,NA,NA
M4K3_HUMAN_Q8IVH8,Mitogen-activated protein kinase kinase kinase kinase 3 OS=Homo sapiens GN=MAP4K3 PE=1 SV=1,NA,NA,0.1417,NA,NA,NA
OTOAN_HUMAN_Q7RTW8,Otoancorin OS=Homo sapiens GN=OTOA PE=1 SV=1,0.0576,NA,NA,NA,NA,NA
MBTP1_HUMAN_Q14703,Membrane-bound transcription factor site-1 protease OS=Homo sapiens GN=MBTPS1 PE=1 SV=1,NA,NA,NA,0.0564,NA,NA
E9PE22_HUMAN_E9PE22,Uncharacterized protein KIAA0895 OS=Homo sapiens GN=KIAA0895 PE=4 SV=1,NA,NA,NA,NA,NA,NA
IF5A2_HUMAN_Q9GZV4,Eukaryotic translation initiation factor 5A-2 OS=Homo sapiens GN=EIF5A2 PE=1 SV=3,NA,NA,NA,NA,NA,0.0036
STOX1_HUMAN_Q6ZVD7,Storkhead-box protein 1 OS=Homo sapiens GN=STOX1 PE=1 SV=2,NA,NA,NA,NA,NA,NA
H7BZM9_HUMAN_H7BZM9,Elongator complex protein 6 OS=Homo sapiens GN=ELP6 PE=1 SV=1,NA,NA,NA,NA,NA,NA
TPOR_HUMAN_P40238,Thrombopoietin receptor OS=Homo sapiens GN=MPL PE=1 SV=1,NA,NA,NA,NA,NA,NA
A6NHR2_HUMAN_A6NHR2,39S ribosomal protein L37_ mitochondrial OS=Homo sapiens GN=MRPL37 PE=1 SV=2,NA,NA,NA,NA,NA,0.0846
IFM3_HUMAN_Q01628,Interferon-induced transmembrane protein 3 OS=Homo sapiens GN=IFITM3 PE=1 SV=2,NA,NA,NA,NA,NA,0.1542
IQUB_HUMAN_Q8NA54,IQ and ubiquitin-like domain-containing protein OS=Homo sapiens GN=IQUB PE=1 SV=2,NA,NA,NA,NA,NA,NA
CASP5_HUMAN_P51878,Caspase-5 OS=Homo sapiens GN=CASP5 PE=1 SV=3,NA,NA,NA,NA,NA,NA
S27A5_HUMAN_Q9Y2P5,Bile acyl-CoA synthetase OS=Homo sapiens GN=SLC27A5 PE=1 SV=1,NA,NA,NA,NA,NA,NA
M0QZA6_HUMAN_M0QZA6,Zinc finger protein 415 (Fragment) OS=Homo sapiens GN=ZNF415 PE=4 SV=1,NA,NA,NA,NA,NA,NA
ATG4D_HUMAN_Q86TL0,Cysteine protease ATG4D OS=Homo sapiens GN=ATG4D PE=1 SV=1,NA,0.5055,NA,NA,NA,NA
ITB4_HUMAN_P16144,Integrin beta-4 OS=Homo sapiens GN=ITGB4 PE=1 SV=5,NA,NA,NA,NA,NA,NA
GRIA4_HUMAN_P48058,Glutamate receptor 4 OS=Homo sapiens GN=GRIA4 PE=2 SV=2,NA,NA,NA,NA,NA,0.0255
H0Y9P2_HUMAN_H0Y9P2,Fibroblast growth factor receptor 4 (Fragment) OS=Homo sapiens GN=FGFR4 PE=1 SV=1,NA,NA,NA,NA,0.0064,NA
H3BRY5_HUMAN_H3BRY5,Sulfotransferase (Fragment) OS=Homo sapiens GN=SULT1A1 PE=1 SV=1,NA,NA,NA,NA,NA,0.0065
H3BME1_HUMAN_H3BME1,F-box/LRR-repeat protein 19 OS=Homo sapiens GN=FBXL19 PE=1 SV=1,NA,NA,NA,NA,NA,NA
Q5T0V0_HUMAN_Q5T0V0,Slit homolog 1 protein OS=Homo sapiens GN=SLIT1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
PAL4A_HUMAN_Q9Y536,Peptidyl-prolyl cis-trans isomerase A-like 4A OS=Homo sapiens GN=PPIAL4A PE=2 SV=1,NA,NA,NA,NA,0.0104,NA
Q5JZH0_HUMAN_Q5JZH0,Carboxypeptidase (Fragment) OS=Homo sapiens GN=CTSA PE=1 SV=2,NA,NA,NA,NA,NA,0.07
ARID2_HUMAN_Q68CP9,AT-rich interactive domain-containing protein 2 OS=Homo sapiens GN=ARID2 PE=1 SV=2,NA,NA,NA,NA,NA,NA
MYPC1_HUMAN_Q00872,Myosin-binding protein C_ slow-type OS=Homo sapiens GN=MYBPC1 PE=1 SV=2,NA,NA,NA,NA,NA,NA
ASB3_HUMAN_Q9Y575,Ankyrin repeat and SOCS box protein 3 OS=Homo sapiens GN=ASB3 PE=1 SV=1,NA,NA,NA,NA,0.0568,NA
B8ZZ77_HUMAN_B8ZZ77,Peptidyl-prolyl cis-trans isomerase OS=Homo sapiens GN=PPIL3 PE=1 SV=1,NA,NA,NA,NA,NA,NA
D6R967_HUMAN_D6R967,Inorganic pyrophosphatase 2_ mitochondrial (Fragment) OS=Homo sapiens GN=PPA2 PE=1 SV=1,NA,NA,NA,NA,NA,0.06
P_HUMAN_Q04671,P protein OS=Homo sapiens GN=OCA2 PE=1 SV=2,NA,0.1937,NA,NA,NA,NA
SP14L_HUMAN_Q9H930,Nuclear body protein SP140-like protein OS=Homo sapiens GN=SP140L PE=1 SV=3,NA,NA,NA,NA,NA,NA
K7ESN3_HUMAN_K7ESN3,GH3 domain-containing protein OS=Homo sapiens GN=GHDC PE=1 SV=1,NA,NA,NA,NA,NA,0.0321
CHIT1_HUMAN_Q13231,Chitotriosidase-1 OS=Homo sapiens GN=CHIT1 PE=1 SV=1,NA,NA,NA,NA,NA,0.03
VTI1A_HUMAN_Q96AJ9,Vesicle transport through interaction with t-SNAREs homolog 1A OS=Homo sapiens GN=VTI1A PE=1 SV=2,NA,NA,NA,NA,NA,NA
DDX51_HUMAN_Q8N8A6,ATP-dependent RNA helicase DDX51 OS=Homo sapiens GN=DDX51 PE=1 SV=3,NA,NA,NA,NA,NA,NA
M0R2A2_HUMAN_M0R2A2,Pregnancy-specific beta-1-glycoprotein 4 (Fragment) OS=Homo sapiens GN=PSG4 PE=1 SV=1,NA,NA,NA,NA,NA,NA
A0A087WTU8_HUMAN_A0A087WTU8,Kv channel-interacting protein 1 OS=Homo sapiens GN=KCNIP1 PE=4 SV=1,NA,NA,NA,NA,NA,NA
M0R3B2_HUMAN_M0R3B2,Nitric oxide synthase-interacting protein (Fragment) OS=Homo sapiens GN=NOSIP PE=1 SV=8,NA,NA,0.0534,NA,NA,NA
CD158_HUMAN_Q5M9N0,Coiled-coil domain-containing protein 158 OS=Homo sapiens GN=CCDC158 PE=2 SV=2,NA,NA,NA,NA,NA,NA
H0YJ97_HUMAN_H0YJ97,Thyroid receptor-interacting protein 11 (Fragment) OS=Homo sapiens GN=TRIP11 PE=1 SV=1,2.2101,NA,NA,NA,NA,NA
PCDGI_HUMAN_Q9Y5F9,Protocadherin gamma-B6 OS=Homo sapiens GN=PCDHGB6 PE=2 SV=1,0.0256,NA,NA,NA,NA,NA
H3BNE1_HUMAN_H3BNE1,Synaptosomal-associated protein 23 OS=Homo sapiens GN=SNAP23 PE=1 SV=1,NA,NA,NA,NA,NA,NA
PCX2_HUMAN_A6NKB5,Pecanex-like protein 2 OS=Homo sapiens GN=PCNX2 PE=2 SV=3,0.0181,NA,NA,NA,NA,NA
G3V231_HUMAN_G3V231,Serine/threonine-protein phosphatase 4 regulatory subunit 3A (Fragment) OS=Homo sapiens GN=PPP4R3A PE=1 SV=1,0.0606,NA,NA,NA,NA,NA
1A68_HUMAN_P01891,HLA class I histocompatibility antigen_ A-68 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=4,NA,NA,NA,NA,NA,NA
VPS45_HUMAN_Q9NRW7,Vacuolar protein sorting-associated protein 45 OS=Homo sapiens GN=VPS45 PE=1 SV=1,0.2913,NA,NA,NA,NA,NA
CNGA1_HUMAN_P29973,cGMP-gated cation channel alpha-1 OS=Homo sapiens GN=CNGA1 PE=1 SV=3,NA,NA,NA,0.0466,NA,NA
A0A096LPI6_HUMAN_A0A096LPI6,Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=2,NA,NA,NA,NA,NA,NA
B7ZL14_HUMAN_B7ZL14,FNBP1 protein OS=Homo sapiens GN=FNBP1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
FYB_HUMAN_O15117,FYN-binding protein OS=Homo sapiens GN=FYB PE=1 SV=2,NA,NA,NA,NA,NA,NA
F8WEP2_HUMAN_F8WEP2,ADP-ribosylation factor-like protein 6-interacting protein 4 OS=Homo sapiens GN=ARL6IP4 PE=1 SV=1,0.0502,NA,NA,NA,NA,NA
TT39B_HUMAN_Q5VTQ0,Tetratricopeptide repeat protein 39B OS=Homo sapiens GN=TTC39B PE=1 SV=4,NA,NA,NA,NA,NA,NA
E9PNJ4_HUMAN_E9PNJ4,Stromal interaction molecule 1 OS=Homo sapiens GN=STIM1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
A0A0A0MQW1_HUMAN_A0A0A0MQW1,Kinase suppressor of Ras 1 OS=Homo sapiens GN=KSR1 PE=1 SV=1,NA,0.5777,NA,NA,NA,NA
TRPV5_HUMAN_Q9NQA5,Transient receptor potential cation channel subfamily V member 5 OS=Homo sapiens GN=TRPV5 PE=1 SV=2,NA,NA,NA,NA,NA,NA
BRD2_HUMAN_P25440,Bromodomain-containing protein 2 OS=Homo sapiens GN=BRD2 PE=1 SV=2,NA,NA,NA,NA,NA,0.0431
GEN_HUMAN_Q17RS7,Flap endonuclease GEN homolog 1 OS=Homo sapiens GN=GEN1 PE=1 SV=2,0.4864,NA,NA,NA,NA,NA
H0Y802_HUMAN_H0Y802,Endoplasmic reticulum-Golgi intermediate compartment protein 3 (Fragment) OS=Homo sapiens GN=ERGIC3 PE=1 SV=1,NA,NA,NA,NA,NA,NA
F8VS81_HUMAN_F8VS81,Twinfilin-1 (Fragment) OS=Homo sapiens GN=TWF1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
A0A087X0R9_HUMAN_A0A087X0R9,Neutral and basic amino acid transport protein rBAT OS=Homo sapiens GN=SLC3A1 PE=1 SV=1,NA,NA,NA,0.022,NA,NA
ARI4B_HUMAN_Q4LE39,AT-rich interactive domain-containing protein 4B OS=Homo sapiens GN=ARID4B PE=1 SV=2,NA,NA,1.2154,NA,NA,NA
ELOV1_HUMAN_Q9BW60,Elongation of very long chain fatty acids protein 1 OS=Homo sapiens GN=ELOVL1 PE=1 SV=1,0.0447,NA,NA,NA,NA,NA
PURB_HUMAN_Q96QR8,Transcriptional activator protein Pur-beta OS=Homo sapiens GN=PURB PE=1 SV=3,NA,NA,0.052,NA,NA,NA
G3V1R2_HUMAN_G3V1R2,Reticulon-4-interacting protein 1_ mitochondrial OS=Homo sapiens GN=RTN4IP1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
UBP8_HUMAN_P40818,Ubiquitin carboxyl-terminal hydrolase 8 OS=Homo sapiens GN=USP8 PE=1 SV=1,NA,NA,NA,NA,NA,0.1181
TIM8A_HUMAN_O60220,Mitochondrial import inner membrane translocase subunit Tim8 A OS=Homo sapiens GN=TIMM8A PE=1 SV=1,NA,NA,NA,NA,NA,NA
LYSM4_HUMAN_Q5XG99,LysM and putative peptidoglycan-binding domain-containing protein 4 OS=Homo sapiens GN=LYSMD4 PE=2 SV=2,NA,NA,NA,NA,NA,NA
A0A0C4DG44_HUMAN_A0A0C4DG44,Serine protease HTRA2_ mitochondrial (Fragment) OS=Homo sapiens GN=HTRA2 PE=1 SV=1,NA,NA,NA,NA,0.047,NA
ASC_HUMAN_Q9ULZ3,Apoptosis-associated speck-like protein containing a CARD OS=Homo sapiens GN=PYCARD PE=1 SV=2,NA,NA,NA,NA,NA,NA
U3KQI2_HUMAN_U3KQI2,Homeobox protein Meis2 (Fragment) OS=Homo sapiens GN=MEIS2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
ACAP1_HUMAN_Q15027,Arf-GAP with coiled-coil_ ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=ACAP1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
GCOM2_HUMAN_Q9BZD3,Putative GRINL1B complex locus protein 2 OS=Homo sapiens GN=GCOM2 PE=5 SV=2,NA,NA,NA,NA,NA,NA
K1H1_HUMAN_Q15323,Keratin_ type I cuticular Ha1 OS=Homo sapiens GN=KRT31 PE=1 SV=3,NA,NA,NA,NA,NA,NA
STBD1_HUMAN_O95210,Starch-binding domain-containing protein 1 OS=Homo sapiens GN=STBD1 PE=1 SV=1,NA,NA,NA,0.1555,NA,NA
RM54_HUMAN_Q6P161,39S ribosomal protein L54_ mitochondrial OS=Homo sapiens GN=MRPL54 PE=1 SV=1,NA,NA,0.0926,NA,NA,NA
MCUB_HUMAN_Q9NWR8,Calcium uniporter regulatory subunit MCUb_ mitochondrial OS=Homo sapiens GN=MCUB PE=1 SV=2,NA,NA,NA,NA,NA,NA
SPT13_HUMAN_Q96N96,Spermatogenesis-associated protein 13 OS=Homo sapiens GN=SPATA13 PE=1 SV=1,NA,NA,NA,NA,NA,NA
CPT1B_HUMAN_Q92523,Carnitine O-palmitoyltransferase 1_ muscle isoform OS=Homo sapiens GN=CPT1B PE=1 SV=2,NA,NA,NA,NA,NA,NA
SNX8_HUMAN_Q9Y5X2,Sorting nexin-8 OS=Homo sapiens GN=SNX8 PE=1 SV=1,NA,0.0158,NA,NA,NA,NA
WDR36_HUMAN_Q8NI36,WD repeat-containing protein 36 OS=Homo sapiens GN=WDR36 PE=1 SV=1,NA,NA,NA,NA,NA,NA
J3KSR7_HUMAN_J3KSR7,U3 small nucleolar RNA-associated protein 18 homolog (Fragment) OS=Homo sapiens GN=UTP18 PE=1 SV=1,NA,NA,NA,NA,NA,0.0319
PPM1L_HUMAN_Q5SGD2,Protein phosphatase 1L OS=Homo sapiens GN=PPM1L PE=1 SV=1,NA,NA,NA,NA,NA,NA
APC5_HUMAN_Q9UJX4,Anaphase-promoting complex subunit 5 OS=Homo sapiens GN=ANAPC5 PE=1 SV=2,NA,NA,NA,NA,NA,NA
TRI11_HUMAN_Q96F44,E3 ubiquitin-protein ligase TRIM11 OS=Homo sapiens GN=TRIM11 PE=1 SV=2,NA,NA,NA,NA,NA,NA
LPIN3_HUMAN_Q9BQK8,Phosphatidate phosphatase LPIN3 OS=Homo sapiens GN=LPIN3 PE=1 SV=3,NA,NA,NA,NA,NA,0.0769
OPLA_HUMAN_O14841,5-oxoprolinase OS=Homo sapiens GN=OPLAH PE=1 SV=3,NA,NA,NA,NA,NA,0.0309
A0A0G2JSD7_HUMAN_A0A0G2JSD7,Cytochrome P450 2D6 OS=Homo sapiens GN=CYP2D6 PE=1 SV=1,NA,NA,NA,NA,NA,NA
PLCD3_HUMAN_Q8N3E9,1-phosphatidylinositol 4_5-bisphosphate phosphodiesterase delta-3 OS=Homo sapiens GN=PLCD3 PE=1 SV=3,NA,NA,NA,NA,NA,NA
J3KSW2_HUMAN_J3KSW2,DNA polymerase iota OS=Homo sapiens GN=POLI PE=1 SV=1,NA,NA,NA,NA,NA,NA
KCNJ2_HUMAN_P63252,Inward rectifier potassium channel 2 OS=Homo sapiens GN=KCNJ2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
PCY2_HUMAN_Q99447,Ethanolamine-phosphate cytidylyltransferase OS=Homo sapiens GN=PCYT2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
A0A0D9SFL5_HUMAN_A0A0D9SFL5,Trafficking kinesin-binding protein 1 OS=Homo sapiens GN=TRAK1 PE=1 SV=1,NA,NA,0.3838,NA,NA,NA
LYPA1_HUMAN_O75608,Acyl-protein thioesterase 1 OS=Homo sapiens GN=LYPLA1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
CFAB_HUMAN_P00751,Complement factor B OS=Homo sapiens GN=CFB PE=1 SV=2,1.4331,NA,NA,NA,NA,NA
E7EMB8_HUMAN_E7EMB8,Tyrosine-protein phosphatase non-receptor type 18 (Fragment) OS=Homo sapiens GN=PTPN18 PE=1 SV=2,NA,NA,NA,NA,NA,NA
E5RGH0_HUMAN_E5RGH0,Zinc finger protein 721 OS=Homo sapiens GN=ZNF721 PE=4 SV=1,NA,NA,NA,NA,NA,NA
ABCD3_HUMAN_P28288,ATP-binding cassette sub-family D member 3 OS=Homo sapiens GN=ABCD3 PE=1 SV=1,NA,0.1145,NA,NA,NA,NA
D6RJC2_HUMAN_D6RJC2,M-phase inducer phosphatase 3 (Fragment) OS=Homo sapiens GN=CDC25C PE=1 SV=1,NA,NA,0.0442,NA,NA,NA
CP2U1_HUMAN_Q7Z449,Cytochrome P450 2U1 OS=Homo sapiens GN=CYP2U1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
THMS1_HUMAN_Q8N1K5,Protein THEMIS OS=Homo sapiens GN=THEMIS PE=1 SV=3,NA,NA,NA,NA,0.0572,NA
ERFE_HUMAN_Q4G0M1,Erythroferrone OS=Homo sapiens GN=ERFE PE=2 SV=2,NA,NA,NA,NA,0.0596,NA
S4A4_HUMAN_Q9Y6R1,Electrogenic sodium bicarbonate cotransporter 1 OS=Homo sapiens GN=SLC4A4 PE=1 SV=1,NA,NA,0.982,NA,NA,NA
REEP3_HUMAN_Q6NUK4,Receptor expression-enhancing protein 3 OS=Homo sapiens GN=REEP3 PE=1 SV=1,NA,NA,NA,NA,NA,NA
IF2GL_HUMAN_Q2VIR3,Putative eukaryotic translation initiation factor 2 subunit 3-like protein OS=Homo sapiens GN=EIF2S3L PE=5 SV=2,NA,NA,NA,NA,NA,NA
F16B2_HUMAN_Q86V87,Protein FAM160B2 OS=Homo sapiens GN=FAM160B2 PE=2 SV=2,NA,NA,NA,NA,0.086,NA
SMI20_HUMAN_Q8N5G0,Small integral membrane protein 20 OS=Homo sapiens GN=SMIM20 PE=1 SV=3,NA,NA,0.0296,NA,NA,NA
A0A087WYG4_HUMAN_A0A087WYG4,Maestro heat-like repeat family member 5 OS=Homo sapiens GN=MROH5 PE=4 SV=1,NA,NA,NA,NA,NA,NA
F5GYE8_HUMAN_F5GYE8,Centrosomal protein of 112 kDa OS=Homo sapiens GN=CEP112 PE=1 SV=1,NA,0.261,NA,NA,NA,NA
I3L4X8_HUMAN_I3L4X8,Integrin beta OS=Homo sapiens GN=ITGB3 PE=3 SV=1,NA,NA,NA,NA,NA,NA
BRD4_HUMAN_O60885,Bromodomain-containing protein 4 OS=Homo sapiens GN=BRD4 PE=1 SV=2,NA,NA,NA,NA,NA,NA
PRD12_HUMAN_Q9H4Q4,PR domain zinc finger protein 12 OS=Homo sapiens GN=PRDM12 PE=1 SV=2,NA,NA,NA,NA,NA,NA
J3QR51_HUMAN_J3QR51,Ras-related protein Rab-31 OS=Homo sapiens GN=RAB31 PE=1 SV=2,NA,NA,NA,NA,NA,NA
F5H7V1_HUMAN_F5H7V1,Nardilysin OS=Homo sapiens GN=NRDC PE=1 SV=2,NA,NA,NA,0.4477,NA,NA
HEXA_HUMAN_P06865,Beta-hexosaminidase subunit alpha OS=Homo sapiens GN=HEXA PE=1 SV=2,NA,NA,NA,0.1033,NA,NA
ABCA9_HUMAN_Q8IUA7,ATP-binding cassette sub-family A member 9 OS=Homo sapiens GN=ABCA9 PE=1 SV=1,NA,NA,NA,NA,NA,NA
PR38A_HUMAN_Q8NAV1,Pre-mRNA-splicing factor 38A OS=Homo sapiens GN=PRPF38A PE=1 SV=1,NA,NA,0.125,NA,NA,NA
TAD2A_HUMAN_O75478,Transcriptional adapter 2-alpha OS=Homo sapiens GN=TADA2A PE=1 SV=3,NA,0.0802,NA,NA,NA,NA
OST48_HUMAN_P39656,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens GN=DDOST PE=1 SV=4,NA,NA,NA,NA,NA,NA
GBP7_HUMAN_Q8N8V2,Guanylate-binding protein 7 OS=Homo sapiens GN=GBP7 PE=2 SV=2,NA,NA,0.9457,NA,NA,NA
TRM61_HUMAN_Q96FX7,tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A OS=Homo sapiens GN=TRMT61A PE=1 SV=1,NA,NA,NA,NA,NA,NA
NTPCR_HUMAN_Q9BSD7,Cancer-related nucleoside-triphosphatase OS=Homo sapiens GN=NTPCR PE=1 SV=1,NA,NA,NA,NA,NA,NA
STIM2_HUMAN_Q9P246,Stromal interaction molecule 2 OS=Homo sapiens GN=STIM2 PE=1 SV=2,NA,NA,NA,NA,NA,NA
CC146_HUMAN_Q8IYE0,Coiled-coil domain-containing protein 146 OS=Homo sapiens GN=CCDC146 PE=1 SV=2,NA,NA,NA,NA,NA,NA
PGAP1_HUMAN_Q75T13,GPI inositol-deacylase OS=Homo sapiens GN=PGAP1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
TAF9B_HUMAN_Q9HBM6,Transcription initiation factor TFIID subunit 9B OS=Homo sapiens GN=TAF9B PE=1 SV=1,NA,NA,NA,NA,NA,NA
FXL21_HUMAN_Q9UKT6,F-box/LRR-repeat protein 21 OS=Homo sapiens GN=FBXL21 PE=1 SV=1,0.0194,NA,NA,NA,NA,NA
ARHGH_HUMAN_Q96PE2,Rho guanine nucleotide exchange factor 17 OS=Homo sapiens GN=ARHGEF17 PE=1 SV=1,0.27,NA,NA,NA,NA,NA
RRP8_HUMAN_O43159,Ribosomal RNA-processing protein 8 OS=Homo sapiens GN=RRP8 PE=1 SV=2,NA,NA,NA,0.0293,NA,NA
A0A1B0GVR3_HUMAN_A0A1B0GVR3,EF-hand domain-containing protein 1 OS=Homo sapiens GN=EFHC1 PE=1 SV=1,0.0752,NA,NA,NA,NA,NA
TIGD1_HUMAN_Q96MW7,Tigger transposable element-derived protein 1 OS=Homo sapiens GN=TIGD1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
F8W1B7_HUMAN_F8W1B7,Matrix metalloproteinase-14 (Fragment) OS=Homo sapiens GN=MMP14 PE=1 SV=1,NA,NA,NA,NA,NA,NA
MBD4_HUMAN_O95243,Methyl-CpG-binding domain protein 4 OS=Homo sapiens GN=MBD4 PE=1 SV=1,NA,NA,NA,NA,NA,0.0066
H7BZQ3_HUMAN_H7BZQ3,OTU domain-containing protein 5 (Fragment) OS=Homo sapiens GN=OTUD5 PE=1 SV=1,NA,NA,NA,NA,NA,0.1305
LRIF1_HUMAN_Q5T3J3,Ligand-dependent nuclear receptor-interacting factor 1 OS=Homo sapiens GN=LRIF1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
CC110_HUMAN_Q8TBZ0,Coiled-coil domain-containing protein 110 OS=Homo sapiens GN=CCDC110 PE=1 SV=1,NA,NA,NA,NA,NA,NA
GUF1_HUMAN_Q8N442,Translation factor GUF1_ mitochondrial OS=Homo sapiens GN=GUF1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
J3QTB2_HUMAN_J3QTB2,MICOS complex subunit OS=Homo sapiens GN=CHCHD6 PE=1 SV=1,NA,NA,NA,NA,NA,NA
EFHC2_HUMAN_Q5JST6,EF-hand domain-containing family member C2 OS=Homo sapiens GN=EFHC2 PE=1 SV=2,NA,NA,NA,NA,NA,NA
H3BSM0_HUMAN_H3BSM0,Acyl-coenzyme A synthetase ACSM3_ mitochondrial (Fragment) OS=Homo sapiens GN=ACSM3 PE=1 SV=1,NA,NA,NA,NA,NA,NA
F5H796_HUMAN_F5H796,Diablo homolog_ mitochondrial (Fragment) OS=Homo sapiens GN=DIABLO PE=1 SV=8,NA,NA,NA,NA,0.0904,NA
B4DK25_HUMAN_B4DK25,Arginyl-tRNA--protein transferase 1 OS=Homo sapiens GN=ATE1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
TCF7_HUMAN_P36402,Transcription factor 7 OS=Homo sapiens GN=TCF7 PE=1 SV=3,0.0081,NA,NA,NA,NA,NA
TAF7_HUMAN_Q15545,Transcription initiation factor TFIID subunit 7 OS=Homo sapiens GN=TAF7 PE=1 SV=1,NA,NA,NA,NA,NA,NA
BABA1_HUMAN_Q9NWV8,BRISC and BRCA1-A complex member 1 OS=Homo sapiens GN=BABAM1 PE=1 SV=1,0.1215,NA,NA,NA,NA,NA
B4E0T2_HUMAN_B4E0T2,Peroxisomal targeting signal 1 receptor OS=Homo sapiens GN=PEX5 PE=1 SV=1,NA,NA,NA,NA,NA,NA
ESCO2_HUMAN_Q56NI9,N-acetyltransferase ESCO2 OS=Homo sapiens GN=ESCO2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
F5H515_HUMAN_F5H515,Dynein heavy chain 10_ axonemal (Fragment) OS=Homo sapiens GN=DNAH10 PE=1 SV=2,NA,NA,NA,NA,NA,NA
SIR5_HUMAN_Q9NXA8,NAD-dependent protein deacylase sirtuin-5_ mitochondrial OS=Homo sapiens GN=SIRT5 PE=1 SV=2,0.0765,NA,NA,NA,NA,NA
H0YDE0_HUMAN_H0YDE0,Cytoplasmic dynein 2 heavy chain 1 (Fragment) OS=Homo sapiens GN=DYNC2H1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
H7C1J4_HUMAN_H7C1J4,Chromosome 6 open reading frame 107_ isoform CRA_b OS=Homo sapiens GN=UHRF1BP1 PE=1 SV=1,NA,NA,NA,NA,NA,10.4359
GREB1_HUMAN_Q4ZG55,Protein GREB1 OS=Homo sapiens GN=GREB1 PE=2 SV=1,NA,NA,0.3902,NA,NA,NA
D2HDH_HUMAN_Q8N465,D-2-hydroxyglutarate dehydrogenase_ mitochondrial OS=Homo sapiens GN=D2HGDH PE=1 SV=3,NA,NA,0.0035,NA,NA,NA
B8ZZF0_HUMAN_B8ZZF0,Protein phosphatase 1B (Fragment) OS=Homo sapiens GN=PPM1B PE=1 SV=2,NA,NA,NA,0.1891,NA,NA
BIG3_HUMAN_Q5TH69,Brefeldin A-inhibited guanine nucleotide-exchange protein 3 OS=Homo sapiens GN=ARFGEF3 PE=1 SV=3,NA,NA,1.5447,NA,NA,NA
H0Y901_HUMAN_H0Y901,Ladinin-1 (Fragment) OS=Homo sapiens GN=LAD1 PE=1 SV=1,NA,NA,0.1829,NA,NA,NA
D6REA0_HUMAN_D6REA0,Glutamyl-tRNA(Gln) amidotransferase subunit B_ mitochondrial OS=Homo sapiens GN=GATB PE=1 SV=1,NA,NA,NA,NA,NA,NA
NC2A_HUMAN_Q14919,Dr1-associated corepressor OS=Homo sapiens GN=DRAP1 PE=1 SV=3,NA,NA,NA,NA,NA,NA
RHG27_HUMAN_Q6ZUM4,Rho GTPase-activating protein 27 OS=Homo sapiens GN=ARHGAP27 PE=1 SV=3,NA,NA,NA,NA,NA,NA
PDD2L_HUMAN_Q9BRP1,Programmed cell death protein 2-like OS=Homo sapiens GN=PDCD2L PE=1 SV=1,NA,NA,NA,NA,NA,NA
SOX17_HUMAN_Q9H6I2,Transcription factor SOX-17 OS=Homo sapiens GN=SOX17 PE=1 SV=1,NA,NA,NA,NA,0.1841,NA
B4DKA4_HUMAN_B4DKA4,Elongator complex protein 3 OS=Homo sapiens GN=ELP3 PE=1 SV=1,NA,NA,NA,NA,NA,NA
